timestamp,open,high,low,close,volume,turnover
1783868400000,533.67,534.53,529.2,531.13,67420,358525.6583
1783872000000,531.08,548.81,530.73,541.82,382886,2074699.5377
1783875600000,541.99,548.55,541.44,544.63,180424,982900.6738
1783879200000,544.66,545.04,538.22,543.18,158613,860770.9228
1783882800000,543.15,543.58,536.32,538.41,105201,567947.2448
1783886400000,538.6,540.58,534.7,540.35,103638,557090.1022
1783890000000,540.28,542.18,534.91,538.56,122834,661700.1438
1783893600000,538.43,538.43,532.48,535.37,145545,778557.7604
1783897200000,535.34,535.35,531.46,533.04,76425,407661.8667
1783900800000,533.01,541.42,527.3,534.27,200114,1072323.9885
1783904400000,534.45,535.22,524.79,526.79,142400,753958.7419
1783908000000,526.77,530.99,522.5,524.1,91280,481603.4709
1783911600000,524.04,524.63,516.28,520.14,277068,1442016.7503
1783915200000,520.1,520.1,516.59,517.38,74929,388349.1271
1783918800000,517.39,518.69,511.64,513.63,321128,1650706.6413
1783922400000,513.72,518.43,513.63,517.81,162427,838976.4756
1783926000000,517.75,523.36,516.06,521.78,153265,796446.061
1783929600000,521.81,522.75,519.81,522.06,86835,452873.3853
1783933200000,522.16,522.18,514.28,514.98,137060,708801.6566
1783936800000,515.0,515.46,510.51,513.68,104596,536589.4733
1783940400000,513.86,516.72,510.34,511.25,100515,516871.3864
1783944000000,511.47,512.67,509.11,512.32,116695,596179.3419
1783947600000,512.24,512.66,502.45,505.18,267210,1353896.1193
1783951200000,505.12,516.65,501.71,515.43,438676,2241641.2274
1783954800000,515.51,516.24,507.69,508.83,195488,999560.2531
1783958400000,508.87,513.74,505.15,509.29,229743,1170289.2687
1783962000000,509.46,511.82,507.87,509.4,101973,519949.1741
1783965600000,509.56,514.18,508.8,510.58,105587,540094.4197
1783969200000,510.6,510.79,502.75,503.57,227029,1148210.3844
1783972800000,503.5,504.97,491.46,495.16,362586,1805613.0158
1783976400000,495.15,497.86,491.39,491.97,237656,1175635.7686
1783980000000,491.99,493.87,490.03,492.77,110795,545560.2801
1783983600000,492.91,496.44,490.86,495.28,141216,697591.4712
