timestamp,open,high,low,close,volume,turnover
1783865760000,98.69,98.83,98.6,98.82,3506,3459.1032
1783865820000,98.82,98.86,98.78,98.81,521,514.7954
1783865880000,98.8,98.86,98.72,98.83,11864,11714.6961
1783865940000,98.85,98.85,98.75,98.8,781,771.5415
1783866000000,98.79,98.82,98.71,98.71,1318,1302.0205
1783866060000,98.7,98.73,98.7,98.73,198,195.4537
1783866120000,98.72,98.8,98.72,98.8,3574,3530.4809
1783866180000,98.8,98.81,98.75,98.79,608,600.6315
1783866240000,98.79,98.79,98.79,98.79,11,10.8669
1783866300000,98.82,98.82,98.68,98.68,433,427.5094
1783866360000,98.71,98.82,98.71,98.82,651,643.0403
1783866420000,98.83,98.89,98.83,98.87,683,675.3103
1783866480000,98.86,98.88,98.8,98.82,639,631.5263
1783866540000,98.77,98.83,98.76,98.77,7510,7421.7752
1783866600000,98.73,98.76,98.7,98.74,27157,26808.5181
1783866660000,98.74,98.74,98.55,98.59,75680,74643.153
1783866720000,98.6,98.85,98.58,98.65,11137,10997.1292
1783866780000,98.65,98.85,98.64,98.82,994,981.8662
1783866840000,98.78,98.84,98.72,98.74,4359,4307.2245
1783866900000,98.68,98.86,98.68,98.85,3896,3847.2219
1783866960000,98.81,99.08,98.81,98.97,4668,4621.5389
1783867020000,98.93,99.05,98.9,99.04,1567,1550.7921
1783867080000,99.02,99.16,99.01,99.12,1561,1547.2356
1783867140000,99.09,99.2,99.05,99.05,2587,2563.8373
1783867200000,99.03,99.06,98.97,98.99,4178,4137.3188
1783867260000,98.98,98.98,98.79,98.86,1995,1972.2377
1783867320000,98.85,98.88,98.81,98.88,398,393.4001
1783867380000,98.88,99.0,98.88,98.96,923,913.2238
1783867440000,98.98,99.07,98.96,99.03,2622,2595.6382
1783867500000,99.02,99.02,98.89,98.91,1124,1112.098
1783867560000,98.9,99.24,98.88,99.24,8121,8051.5685
1783867620000,99.18,99.18,98.99,99.0,5227,5178.9386
1783867680000,99.0,99.05,98.92,98.96,2597,2569.8828
1783867740000,98.96,99.06,98.88,98.89,1819,1799.8288
1783867800000,98.87,98.95,98.84,98.87,1341,1326.1433
1783867860000,98.86,98.92,98.86,98.9,697,689.2935
1783867920000,98.91,98.91,98.83,98.91,1629,1610.9977
1783867980000,98.9,99.13,98.88,98.99,6569,6505.1533
1783868040000,98.98,99.08,98.89,99.04,2858,2828.2852
1783868100000,99.04,99.15,99.04,99.09,2810,2784.5171
1783868160000,99.07,99.11,99.04,99.07,703,696.4357
1783868220000,99.06,99.16,99.02,99.16,2816,2789.8405
1783868280000,99.14,99.14,99.05,99.06,1001,991.8392
1783868340000,99.07,99.1,99.04,99.08,665,658.8177
1783868400000,99.05,99.07,98.93,98.99,655,648.4578
1783868460000,98.98,99.08,98.82,98.85,2741,2713.3022
1783868520000,98.82,99.09,98.78,98.9,40190,39812.1489
1783868580000,98.89,99.04,98.88,98.99,1259,1245.9841
1783868640000,98.98,99.07,98.96,99.01,2409,2384.9666
1783868700000,99.0,99.06,98.98,99.0,2331,2307.9181
1783868760000,99.01,99.15,99.0,99.1,1153,1142.2387
1783868820000,99.08,99.15,99.06,99.13,678,671.878
1783868880000,99.11,99.19,99.11,99.15,1047,1038.1578
1783868940000,99.12,99.35,99.11,99.13,5614,5569.5779
1783869000000,99.12,99.19,99.1,99.13,23979,23770.6298
1783869060000,99.12,99.18,99.1,99.13,28423,28175.775
1783869120000,99.13,99.16,99.08,99.09,17421,17266.8373
1783869180000,99.08,99.2,99.07,99.19,1216,1205.149
1783869240000,99.18,99.19,99.03,99.08,11697,11591.2727
1783869300000,99.06,99.08,98.98,98.99,774,766.5072
1783869360000,98.97,98.98,98.85,98.88,2557,2529.4063
1783869420000,98.86,98.86,98.73,98.74,1002,989.5918
1783869480000,98.74,98.77,98.27,98.3,5188,5107.7949
1783869540000,98.29,98.39,98.28,98.28,3224,3171.3117
1783869600000,98.29,98.37,98.17,98.21,65897,64794.736
1783869660000,98.21,98.41,98.19,98.33,1439,1414.3286
1783869720000,98.33,98.36,98.29,98.34,10937,10754.765
1783869780000,98.37,98.51,98.35,98.5,28721,28289.8884
1783869840000,98.51,98.53,98.39,98.42,15950,15699.6526
1783869900000,98.43,98.44,98.3,98.33,12442,12245.8035
1783869960000,98.33,98.47,98.27,98.34,6938,6823.3713
1783870020000,98.35,98.76,98.31,98.76,16580,16314.6908
1783870080000,98.76,98.81,98.7,98.81,889,877.9778
1783870140000,98.82,98.84,98.71,98.73,2753,2719.2995
1783870200000,98.74,98.81,98.73,98.75,12364,12215.3572
1783870260000,98.76,98.81,98.69,98.74,866,855.24
1783870320000,98.74,98.81,98.74,98.76,923,911.6823
1783870380000,98.77,98.78,98.72,98.73,3442,3398.9432
1783870440000,98.71,98.71,98.6,98.6,18582,18338.5012
1783870500000,98.6,98.72,98.58,98.62,39096,38569.7503
1783870560000,98.62,98.67,98.53,98.53,1956,1928.7585
1783870620000,98.55,98.66,98.55,98.65,626,617.3387
1783870680000,98.66,98.72,98.56,98.57,689,679.5308
1783870740000,98.58,98.59,98.39,98.5,826,813.5859
1783870800000,98.5,98.52,98.48,98.48,644,634.3466
1783870860000,98.48,98.51,98.46,98.47,669,658.8396
1783870920000,98.53,98.63,98.52,98.61,566,557.9803
1783870980000,98.61,98.62,98.55,98.58,5635,5554.5636
1783871040000,98.57,98.61,98.54,98.55,1016,1001.3596
1783871100000,98.56,98.56,98.47,98.51,3687,3631.8748
1783871160000,98.5,98.5,98.34,98.37,904,889.4339
1783871220000,98.4,98.59,98.4,98.58,3866,3810.0598
1783871280000,98.58,98.59,98.47,98.54,820,808.0441
1783871340000,98.52,98.56,98.52,98.55,638,628.7358
1783871400000,98.55,98.6,98.54,98.57,780,768.8811
1783871460000,98.57,98.58,98.49,98.53,1740,1714.9174
1783871520000,98.53,98.54,98.44,98.49,782,770.296
1783871580000,98.5,98.54,98.49,98.54,644,634.5524
1783871640000,98.53,98.56,98.5,98.56,440,433.5871
