timestamp,open,high,low,close,volume,turnover
1783862280000,528.41,528.41,528.01,528.2,2562.0,13533.2086
1783862340000,528.39,532.65,528.27,530.66,18139.0,96142.4233
1783862400000,530.75,531.41,530.28,530.28,1161.0,6162.3717
1783862460000,530.38,530.85,530.08,530.36,1339.0,7103.1018
1783862520000,530.24,530.24,528.84,528.84,11983.0,63394.1446
1783862580000,529.0,529.43,528.73,529.25,10455.0,55297.2025
1783862640000,529.11,529.44,529.1,529.32,618.0,3271.4249
1783862700000,529.45,530.0,529.44,530.0,6400.0,33906.0807
1783862760000,529.98,530.58,529.55,529.58,1161.0,6155.2948
1783862820000,529.46,530.34,529.43,529.89,774.0,4101.7512
1783862880000,529.97,530.26,529.52,529.77,3509.0,18587.0372
1783862940000,530.06,530.58,530.06,530.33,709.0,3760.3908
1783863000000,530.37,530.43,529.39,529.39,613.0,3249.0515
1783863060000,529.35,530.36,529.35,529.66,763.0,4041.8076
1783863120000,529.59,529.86,528.7,529.22,835.0,4419.5526
1783863180000,529.16,529.38,528.94,529.28,1218.0,6445.3722
1783863240000,529.37,529.79,529.29,529.29,627.0,3320.2984
1783863300000,529.71,529.78,529.1,529.1,732.0,3876.4989
1783863360000,529.1,529.59,528.67,528.76,3268.0,17287.1488
1783863420000,528.78,529.64,528.4,528.99,3933.0,20804.7799
1783863480000,529.06,529.22,528.6,529.08,3844.0,20327.1393
1783863540000,529.16,529.71,528.63,528.71,937.0,4960.8882
1783863600000,528.74,528.99,528.35,528.99,789.0,4171.4866
1783863660000,529.29,529.29,528.69,529.03,503.0,2660.5859
1783863720000,529.03,529.04,528.28,528.28,826.0,4367.3878
1783863780000,528.34,528.39,528.09,528.13,926.0,4891.3192
1783863840000,528.23,528.45,528.13,528.18,1059.0,5594.3886
1783863900000,528.32,528.58,528.32,528.48,1670.0,8825.0796
1783863960000,528.51,528.58,527.7,528.36,681.0,3597.1735
1783864020000,528.38,528.64,527.91,528.02,498.0,2630.4189
1783864080000,528.23,528.45,528.21,528.33,613.0,3238.6705
1783864140000,528.33,528.35,528.21,528.31,217.0,1146.4363
1783864200000,528.46,528.8,528.14,528.51,978.0,5169.9373
1783864260000,528.58,528.58,527.85,528.06,939.0,4960.2499
1783864320000,528.24,528.28,527.62,527.7,829.0,4376.5877
1783864380000,527.77,527.86,527.63,527.67,372.0,1963.3032
1783864440000,527.7,527.7,525.74,526.07,7539.0,39681.0518
1783864500000,525.98,526.44,525.61,525.61,5247.0,27605.207
1783864560000,525.63,525.87,524.63,525.59,7428.0,39003.8537
1783864620000,525.74,526.54,525.73,526.29,520.0,2736.4867
1783864680000,526.29,526.49,525.42,526.16,5553.0,29193.107
1783864740000,526.19,526.32,525.74,525.82,1004.0,5281.0374
1783864800000,525.88,527.29,525.88,527.15,3211.0,16917.4521
1783864860000,527.25,527.38,525.87,525.93,1599.0,8427.4966
1783864920000,525.89,527.27,525.81,527.19,3008.0,15848.013
1783864980000,527.18,527.22,526.9,527.03,119.0,627.2234
1783865040000,527.33,527.4,526.77,526.97,842.0,4437.6307
1783865100000,527.04,527.74,527.04,527.41,531.0,2800.2297
1783865160000,527.53,528.0,527.45,527.78,2113.0,11154.3469
1783865220000,527.72,527.76,526.59,526.9,590.0,3110.0092
1783865280000,526.81,527.46,526.81,527.41,486.0,2562.1316
1783865340000,527.3,527.71,526.94,526.94,3165.0,16681.0888
1783865400000,526.94,527.03,526.23,526.23,841.0,4429.6835
1783865460000,526.31,526.34,525.73,525.79,682.0,3588.5185
1783865520000,525.76,526.48,525.57,526.4,1310.0,6890.607
1783865580000,526.49,526.96,526.37,526.38,474.0,2496.2984
1783865640000,526.7,527.09,526.31,526.6,536.0,2823.0988
1783865700000,526.65,526.65,526.21,526.4,335.0,1763.6564
1783865760000,526.67,526.72,525.87,526.37,3179.0,16723.6263
1783865820000,526.49,526.58,526.17,526.58,321.0,1689.6959
1783865880000,526.58,527.23,526.58,527.23,4956.0,26109.1536
1783865940000,527.22,527.24,526.6,526.79,622.0,3276.1568
1783866000000,526.74,527.78,526.68,527.64,1848.0,9746.3041
1783866060000,527.68,527.82,527.4,527.49,1970.0,10393.6695
1783866120000,527.68,528.54,527.53,528.51,1184.0,6255.9877
1783866180000,528.32,529.16,528.04,528.97,4108.0,21713.8434
1783866240000,528.89,529.68,528.83,529.39,1328.0,7032.0352
1783866300000,529.37,529.61,528.75,529.1,1021.0,5404.2266
1783866360000,529.0,529.47,528.47,528.89,1066.0,5640.8344
1783866420000,528.7,529.07,528.55,528.65,1076.0,5689.4973
1783866480000,528.6,528.69,528.4,528.58,300.0,1585.6345
1783866540000,528.27,528.57,528.07,528.49,558.0,2948.2345
1783866600000,528.56,528.58,528.31,528.31,783.0,4138.477
1783866660000,528.41,528.51,528.01,528.21,20839.0,110065.5503
1783866720000,528.16,529.63,527.94,529.02,7966.0,42104.4715
1783866780000,528.99,529.7,528.95,529.63,1383.0,7322.8239
1783866840000,529.78,530.07,529.56,529.6,1230.0,6517.2576
1783866900000,529.54,529.76,529.23,529.61,2652.0,14047.3264
1783866960000,529.52,529.58,529.3,529.55,902.0,4775.2396
1783867020000,529.46,529.82,529.46,529.76,898.0,4756.2645
1783867080000,529.64,529.9,529.41,529.54,691.0,3659.4391
1783867140000,529.61,529.91,529.29,529.29,622.0,3293.899
1783867200000,529.43,529.6,529.23,529.6,426.0,2255.3336
1783867260000,529.59,529.59,529.16,529.28,182.0,963.3973
1783867320000,529.5,531.44,529.46,530.83,1537.0,8157.6141
1783867380000,531.02,531.09,530.3,530.6,2360.0,12527.9467
1783867440000,530.79,530.84,530.06,530.06,390.0,2068.7599
1783867500000,530.03,530.16,529.44,529.66,1086.0,5752.2307
1783867560000,529.71,531.39,529.47,530.47,2524.0,13383.0146
1783867620000,530.51,530.64,529.93,529.95,784.0,4156.1423
1783867680000,529.99,530.37,529.82,529.82,618.0,3276.3368
1783867740000,529.95,530.78,529.95,530.76,571.0,3029.4946
1783867800000,530.69,530.75,529.85,529.9,380.0,2014.9522
1783867860000,529.96,530.04,529.41,529.44,346.0,1832.7126
1783867920000,529.53,529.71,529.45,529.59,448.0,2372.4524
1783867980000,529.83,530.96,529.7,530.59,4192.0,22239.8466
1783868040000,530.7,536.72,530.7,533.79,44846.0,239817.7368
1783868100000,533.39,535.95,533.33,533.79,8267.0,44204.5892
1783868160000,533.86,534.31,533.24,533.7,3663.0,19552.0729
1783868220000,533.59,534.59,533.59,534.06,397.0,2120.3742
1783868280000,534.08,535.29,534.06,534.23,858.0,4585.5502
1783868340000,534.32,534.72,533.4,533.4,207.0,1106.2205
1783868400000,533.67,534.53,533.4,533.4,3750.0,20013.3298
1783868460000,533.4,533.4,532.0,532.16,5441.0,28971.9378
1783868520000,532.2,533.28,532.01,533.28,417.0,2220.4055
1783868580000,533.09,533.63,532.62,532.83,272.0,1450.3093
