generated_utc,system,profile,paper_portfolio,classification,event_key,experiment_group_id,trade_id,asset,side,timeframe_minutes,opened_at,closed_at,entry_regime,entry_volatility_state,score,confidence,close_reason,net_pnl,normalized_result,metric_unit
2026-07-20T00:30:21+00:00,MAIN_PAPER_RESEARCH,MAIN,MAIN,PRESO_DAL_PAPER,9d0c447b8cdc5bb08b2f|EVAA|SHORT|240,9d0c447b8cdc5bb08b2f,MAIN|EVAA|240|2026-07-13T04:00:00+00:00|SHORT,EVAA,SHORT,240,2026-07-13T08:02:22+00:00,2026-07-13T12:00:00+00:00,RANGE,NORMAL,-6.25,BUONA,TARGET,19.866666666666667,1.9866666666666668,R
2026-07-20T00:30:21+00:00,MAIN_PAPER_RESEARCH,MAIN,MAIN,PRESO_DAL_PAPER,e3121fc97cc5dc48a5d6|LAB|SHORT|240,e3121fc97cc5dc48a5d6,MAIN|LAB|240|2026-07-13T04:00:00+00:00|SHORT,LAB,SHORT,240,2026-07-13T08:02:22+00:00,2026-07-13T16:00:00+00:00,RANGE,NORMAL,-7.75,ALTA,TARGET,19.866666666666667,1.9866666666666668,R
2026-07-20T00:30:21+00:00,MAIN_PAPER_RESEARCH,MAIN,MAIN,PRESO_DAL_PAPER,ca07ad5d1b076bf1b3a4|ZEC|LONG|240,ca07ad5d1b076bf1b3a4,MAIN|ZEC|240|2026-07-13T04:00:00+00:00|LONG,ZEC,LONG,240,2026-07-13T08:02:22+00:00,2026-07-13T20:00:00+00:00,RANGE,NORMAL,7.75,ALTA,STOP,-10.276706979414731,-1.0276706979414731,R
2026-07-20T00:30:21+00:00,MAIN_PAPER_RESEARCH,MAIN,MAIN,SALTATO_DAL_PAPER,ac68b39fcd5fef8c0172|EVAA|SHORT|240,ac68b39fcd5fef8c0172,MAIN|EVAA|240|2026-07-13T12:00:00+00:00|SHORT,EVAA,SHORT,240,2026-07-13T16:08:38+00:00,2026-07-13T20:00:00+00:00,RANGE,NORMAL,-6.25,BUONA,STOP,-10.133333333333344,-1.0133333333333343,R
2026-07-20T00:30:21+00:00,MAIN_PAPER_RESEARCH,MAIN,MAIN,SALTATO_DAL_PAPER,2ee817498f35a1d77334|LAB|SHORT|240,2ee817498f35a1d77334,MAIN|LAB|240|2026-07-13T20:00:00+00:00|SHORT,LAB,SHORT,240,2026-07-14T00:01:37+00:00,2026-07-14T04:00:00+00:00,RANGE,NORMAL,-6.25,BUONA,STOP,-10.133333333333344,-1.0133333333333343,R
2026-07-20T00:30:21+00:00,MAIN_PAPER_RESEARCH,MAIN,MAIN,PRESO_DAL_PAPER,9fc9a1ad67ae0d722f56|ALLO|LONG|240,9fc9a1ad67ae0d722f56,MAIN|ALLO|240|2026-07-13T20:00:00+00:00|LONG,ALLO,LONG,240,2026-07-14T00:01:37+00:00,2026-07-14T04:00:00+00:00,RANGE,NORMAL,7.5,ALTA,STOP,-10.133333333333333,-1.0133333333333332,R
2026-07-20T00:30:21+00:00,MAIN_PAPER_RESEARCH,MAIN,MAIN,PRESO_DAL_PAPER,93c9e7ab6a6ff1d19348|EVAA|SHORT|240,93c9e7ab6a6ff1d19348,MAIN|EVAA|240|2026-07-13T20:00:00+00:00|SHORT,EVAA,SHORT,240,2026-07-14T00:01:37+00:00,2026-07-14T08:00:00+00:00,RANGE,NORMAL,-6.75,BUONA,STOP,-10.133333333333344,-1.0133333333333343,R
2026-07-20T00:30:21+00:00,MAIN_PAPER_RESEARCH,MAIN,MAIN,PRESO_DAL_PAPER,6e228ea732f52a9ef82d|DOGE|SHORT|240,6e228ea732f52a9ef82d,MAIN|DOGE|240|2026-07-13T04:00:00+00:00|SHORT,DOGE,SHORT,240,2026-07-13T08:02:22+00:00,2026-07-14T12:00:00+00:00,RANGE,NORMAL,-7.9926,ALTA,STOP,-10.540372404397162,-1.0540372404397162,R
2026-07-20T00:30:21+00:00,MAIN_PAPER_RESEARCH,MAIN,MAIN,SALTATO_DAL_PAPER,df23d1bb6c18abc6a79e|XRP|SHORT|240,df23d1bb6c18abc6a79e,MAIN|XRP|240|2026-07-13T20:00:00+00:00|SHORT,XRP,SHORT,240,2026-07-14T00:01:37+00:00,2026-07-14T12:00:00+00:00,RANGE,NORMAL,-6.5534,BUONA,STOP,-10.613168013017518,-1.0613168013017518,R
2026-07-20T00:30:21+00:00,MAIN_PAPER_RESEARCH,MAIN,MAIN,PRESO_DAL_PAPER,ecbc880a8fb6fc23f282|HYPE|SHORT|240,ecbc880a8fb6fc23f282,MAIN|HYPE|240|2026-07-13T12:00:00+00:00|SHORT,HYPE,SHORT,240,2026-07-13T16:08:38+00:00,2026-07-15T00:00:00+00:00,RANGE,NORMAL,-6.5043,BUONA,STOP,-10.394108569521366,-1.0394108569521365,R
2026-07-20T00:30:21+00:00,MAIN_PAPER_RESEARCH,MAIN,MAIN,PRESO_DAL_PAPER,07e39165effe57d08550|PEPE|LONG|240,07e39165effe57d08550,MAIN|PEPE|240|2026-07-14T12:00:00+00:00|LONG,PEPE,LONG,240,2026-07-14T16:00:54+00:00,2026-07-16T08:00:00+00:00,TREND_UP,NORMAL,8.1218,ALTA,STOP,-10.326805729312975,-1.0326805729312976,R
