generated_utc,signal_id,portfolio,strategy,asset,side,leverage,score,guard_level,guard_direction,asset_level,decision,reason,simulation_started
2026-07-20T03:08:29+00:00,9fb3160cf223ef7ce49b,SHADOW_1H_BALANCED_V3,confluence_trend_v3_filtered,ESPORTS,SHORT,3.0,-6.75,NORMAL,NONE,EXTREME,BLOCKED,CRASH_GUARD_ASSET_EXTREME,True
2026-07-20T03:08:29+00:00,9f50309c0d7735516f75,SHADOW_1H_FAST_V3,momentum_breakout_v3_filtered,ESPORTS,SHORT,3.0,-6.75,NORMAL,NONE,EXTREME,BLOCKED,CRASH_GUARD_ASSET_EXTREME,True
2026-07-20T03:08:29+00:00,8c6b182f021d7ed83e03,SHADOW_SCANNER_BOTTOM5_SHORT,scanner_bottom5_short,ESPORTS,SHORT,2.0,-9.5,NORMAL,NONE,EXTREME,BLOCKED,CRASH_GUARD_ASSET_EXTREME,True
2026-07-20T03:23:29+00:00,9f50309c0d7735516f75,SHADOW_1H_FAST_V3,momentum_breakout_v3_filtered,ESPORTS,SHORT,3.0,-6.75,NORMAL,NONE,CRASH,BLOCKED_PREVIOUSLY,CRASH_GUARD_SIGNAL_ALREADY_BLOCKED,False
2026-07-20T03:23:29+00:00,8c6b182f021d7ed83e03,SHADOW_SCANNER_BOTTOM5_SHORT,scanner_bottom5_short,ESPORTS,SHORT,2.0,-9.5,NORMAL,NONE,CRASH,BLOCKED_PREVIOUSLY,CRASH_GUARD_SIGNAL_ALREADY_BLOCKED,False
2026-07-20T03:38:29+00:00,9f50309c0d7735516f75,SHADOW_1H_FAST_V3,momentum_breakout_v3_filtered,ESPORTS,SHORT,3.0,-6.75,NORMAL,NONE,CRASH,BLOCKED_PREVIOUSLY,CRASH_GUARD_SIGNAL_ALREADY_BLOCKED,False
2026-07-20T03:38:29+00:00,8c6b182f021d7ed83e03,SHADOW_SCANNER_BOTTOM5_SHORT,scanner_bottom5_short,ESPORTS,SHORT,2.0,-9.5,NORMAL,NONE,CRASH,BLOCKED_PREVIOUSLY,CRASH_GUARD_SIGNAL_ALREADY_BLOCKED,False
2026-07-20T05:08:30+00:00,62a0b45c7b8086e1533b,SHADOW_1H_FAST_V3,momentum_breakout_v3_filtered,ESPORTS,SHORT,3.0,-6.75,NORMAL,NONE,EXTREME,BLOCKED,CRASH_GUARD_ASSET_EXTREME,True
2026-07-20T05:10:15+00:00,62a0b45c7b8086e1533b,SHADOW_1H_FAST_V3,momentum_breakout_v3_filtered,ESPORTS,SHORT,3.0,-6.75,NORMAL,NONE,EXTREME,BLOCKED_PREVIOUSLY,CRASH_GUARD_SIGNAL_ALREADY_BLOCKED,False
2026-07-20T05:23:29+00:00,62a0b45c7b8086e1533b,SHADOW_1H_FAST_V3,momentum_breakout_v3_filtered,ESPORTS,SHORT,3.0,-6.75,NORMAL,NONE,EXTREME,BLOCKED_PREVIOUSLY,CRASH_GUARD_SIGNAL_ALREADY_BLOCKED,False
2026-07-20T05:38:30+00:00,62a0b45c7b8086e1533b,SHADOW_1H_FAST_V3,momentum_breakout_v3_filtered,ESPORTS,SHORT,3.0,-6.75,NORMAL,NONE,EXTREME,BLOCKED_PREVIOUSLY,CRASH_GUARD_SIGNAL_ALREADY_BLOCKED,False
2026-07-21T01:08:32+00:00,58c590fa3dd5e43dacc2,SHADOW_SCANNER_TOP5_BTC_GUARD_BTC_LE3_V1,scanner_top5_btc_strength,BANK,LONG,2.0,9.5,NORMAL,NONE,EXTREME,BLOCKED,CRASH_GUARD_ASSET_EXTREME,True
2026-07-21T01:08:32+00:00,50bb41ffb7884f62da4b,SHADOW_SCANNER_TOP5_BTC_GUARD_BTC_LE3_MFE_V1,scanner_top5_btc_strength,BANK,LONG,2.0,9.5,NORMAL,NONE,EXTREME,BLOCKED,CRASH_GUARD_ASSET_EXTREME,True
2026-07-21T01:23:31+00:00,58c590fa3dd5e43dacc2,SHADOW_SCANNER_TOP5_BTC_GUARD_BTC_LE3_V1,scanner_top5_btc_strength,BANK,LONG,2.0,9.5,NORMAL,NONE,STRESS,BLOCKED_PREVIOUSLY,CRASH_GUARD_SIGNAL_ALREADY_BLOCKED,False
2026-07-21T01:23:31+00:00,50bb41ffb7884f62da4b,SHADOW_SCANNER_TOP5_BTC_GUARD_BTC_LE3_MFE_V1,scanner_top5_btc_strength,BANK,LONG,2.0,9.5,NORMAL,NONE,STRESS,BLOCKED_PREVIOUSLY,CRASH_GUARD_SIGNAL_ALREADY_BLOCKED,False
2026-07-21T01:38:31+00:00,58c590fa3dd5e43dacc2,SHADOW_SCANNER_TOP5_BTC_GUARD_BTC_LE3_V1,scanner_top5_btc_strength,BANK,LONG,2.0,9.5,NORMAL,NONE,STRESS,BLOCKED_PREVIOUSLY,CRASH_GUARD_SIGNAL_ALREADY_BLOCKED,False
2026-07-21T01:38:31+00:00,50bb41ffb7884f62da4b,SHADOW_SCANNER_TOP5_BTC_GUARD_BTC_LE3_MFE_V1,scanner_top5_btc_strength,BANK,LONG,2.0,9.5,NORMAL,NONE,STRESS,BLOCKED_PREVIOUSLY,CRASH_GUARD_SIGNAL_ALREADY_BLOCKED,False
2026-07-21T08:08:34+00:00,8943716f91bec819b4e6,SHADOW_4H_WIDE,confluence_trend,BANK,LONG,2.0,6.75,NORMAL,NONE,EXTREME,BLOCKED,CRASH_GUARD_ASSET_EXTREME,True
