generated_utc,scope,scope_value,family_id,portfolio,regime,status,fitness_score,closed_trades,expectancy_r,profit_factor,win_rate,max_drawdown_r,liquidations,positive_folds,total_folds,first_entry_utc,last_entry_utc
2026-07-20T20:23:38+00:00,FAMILY,shadow-donchian-1h,shadow-donchian-1h,,UNKNOWN,INSUFFICIENT,80.8,2,1.4220368252154294,99.0,1.0,0.0,0,2,2,2026-07-19T10:08:31+00:00,2026-07-19T11:38:31+00:00
2026-07-20T20:23:38+00:00,FAMILY,shadow-ema-trend-1h,shadow-ema-trend-1h,,UNKNOWN,INSUFFICIENT,80.4,1,2.1865745973333337,99.0,1.0,0.0,0,1,1,2026-07-20T07:31:51+00:00,2026-07-20T07:31:51+00:00
2026-07-20T20:23:38+00:00,FAMILY,shadow-combo-mean-reversion,shadow-combo-mean-reversion,,UNKNOWN,INSUFFICIENT,80.4,1,1.4792081087377535,99.0,1.0,0.0,0,1,1,2026-07-20T07:01:32+00:00,2026-07-20T07:01:32+00:00
2026-07-20T20:23:38+00:00,FAMILY,shadow-1h-balanced,shadow-1h-balanced,,UNKNOWN,INSUFFICIENT,78.73,7,0.5951172932085486,4.707266011004689,0.7142857142857143,1.0462928138557859,0,3,4,2026-07-12T14:17:20+00:00,2026-07-19T16:23:31+00:00
2026-07-20T20:23:38+00:00,FAMILY,shadow-relative-strength-v2,shadow-relative-strength-v2,,UNKNOWN,INSUFFICIENT,75.4,3,1.0684017980606517,3.951658356475741,0.6666666666666666,1.0858998593620939,0,2,3,2026-07-19T12:08:30+00:00,2026-07-20T06:08:30+00:00
2026-07-20T20:23:38+00:00,FAMILY,shadow-1h-balanced-v3,shadow-1h-balanced-v3,,UNKNOWN,INSUFFICIENT,72.87,5,0.4889027147338788,3.2519599300674487,0.6,1.0855049155320355,0,2,4,2026-07-19T09:08:30+00:00,2026-07-19T16:08:30+00:00
2026-07-20T20:23:38+00:00,FAMILY,shadow-1h-fast-v3,shadow-1h-fast-v3,,UNKNOWN,INSUFFICIENT,63.08,8,0.25225340466429647,1.611347642807696,0.5,2.2741317560045995,0,4,4,2026-07-19T10:08:31+00:00,2026-07-20T14:38:31+00:00
2026-07-20T20:23:38+00:00,FAMILY,shadow-relative-strength,shadow-relative-strength,,UNKNOWN,INSUFFICIENT,54.29,7,0.15539667464267487,1.6524687072882378,0.42857142857142855,1.0462928138557859,0,2,4,2026-07-12T14:17:20+00:00,2026-07-19T14:38:31+00:00
2026-07-20T20:23:38+00:00,FAMILY,shadow-combo-adaptive-mfe-trail,shadow-combo-adaptive-mfe-trail,,UNKNOWN,INSUFFICIENT,47.05,7,0.07097220409470929,1.2451741614168905,0.5714285714285714,2.026336812133334,0,2,4,2026-07-19T08:38:30+00:00,2026-07-20T07:08:29+00:00
2026-07-20T20:23:38+00:00,FAMILY,shadow-1h-fast,shadow-1h-fast,,UNKNOWN,INSUFFICIENT,24.03,8,-0.1291773123914408,0.6994997468914449,0.25,2.3624043202962763,0,2,4,2026-07-12T14:17:20+00:00,2026-07-19T13:08:31+00:00
