portfolio,is_main,trade_id,experiment_group_id,asset,symbol,side,strategy,timeframe_minutes,opened_at,entry_price,mark_price,stop_price,liquidation_price,target_price,quantity,notional_eur,margin_eur,leverage,initial_risk_eur,entry_fee_eur,funding_pnl_eur,max_favorable_price,max_adverse_price,mfe_gross_eur,mae_gross_eur,mfe_net_eur,mae_net_eur,mfe_pct,mae_pct,mfe_at_utc,mae_at_utc,excursion_observation_count,excursion_quality,risk_model_version_at_entry,crash_guard_level_at_entry,asset_stress_level_at_entry,protective_execution_model,signal_score,confidence
MAIN,True,35e1b96a2ca741070242,de5f61ed1ca9c511cb0e,XRP,XRPUSDTM,SHORT,confluence_trend,240,2026-08-11T00:09:07+00:00,1.010467866,1.0214,1.0335190025182663,1.34223814867,0.9643655929634671,2113.4006502090474,2135.5234450197486,711.8411483399162,3.0,48.71628690576181,1.281314067011849,0.8542093780078994,0.99045,1.02622,42.30577102019734,-33.29057023777999,40.622735726793664,-35.446068024942406,1.9810492419953794,-1.558895095037092,2026-08-12T07:45:00+00:00,2026-08-11T21:30:00+00:00,138,COMPLETED_15M_OHLC,block4_5_v1,NORMAL,NORMAL,PAPER_STOP_MARKET_STRESSED_V1,-8.3631,ALTA
MAIN,True,44aa4d7853ebac1a1ebc,beb40fc7ff3d5f87a334,SPCX,SPCXUSDTM,LONG,confluence_trend,240,2026-08-11T00:09:07+00:00,136.56188799999998,,128.79610232099904,91.72406810666665,152.0934593580019,6.271885772462132,856.500562407767,285.50018746925565,3.0,48.70612071211629,0.5139003374446601,0.28607118784419416,139.85,133.41,20.622662871062083,-19.768281503594032,19.86855978629432,-20.498150021737004,2.4077815913031406,-2.3080290161190407,2026-08-11T13:30:00+00:00,2026-08-11T13:30:00+00:00,57,COMPLETED_15M_OHLC,block4_5_v1,NORMAL,NORMAL,PAPER_STOP_MARKET_STRESSED_V1,7.75,ALTA
MAIN,True,1523bee1c174347b3066,2144f0970975bb037d18,VELVET,VELVETUSDTM,LONG,confluence_trend,240,2026-08-12T04:54:37+00:00,0.5598719520000001,0.59024,0.4926873177600001,0.37604732776000005,0.69424122048,702.3674660129823,393.2358442179821,131.07861473932738,3.0,47.188301306157854,0.23594150653078924,0.0,0.57607,0.53817,11.376981928116592,-15.24274503377539,10.898272725898144,-15.705482399816704,2.8931701154409515,-3.8762349002259042,2026-08-12T05:45:00+00:00,2026-08-12T07:00:00+00:00,23,COMPLETED_15M_OHLC,block4_5_v1,NORMAL,NORMAL,PAPER_STOP_MARKET_STRESSED_V1,8.25,ALTA
SHADOW_1H_BALANCED,False,57355ff65ad555f947e3,a099cecc783433fbada4,SPCX,SPCXUSDTM,LONG,confluence_trend,60,2026-08-10T21:39:39+00:00,136.852062,,132.3134536861309,91.91896830999998,145.92927862773814,11.352663373015211,1553.6353917890067,517.8784639296689,3.0,51.52529236932383,0.9321812350734039,0.6665095830774839,139.85,133.41,34.03458092717053,-39.0765711950474,32.81630729154491,-40.25097813939969,2.190641453396592,-2.5151699942964636,2026-08-11T13:30:00+00:00,2026-08-11T13:30:00+00:00,67,COMPLETED_15M_OHLC,block4_5_v1,NORMAL,NORMAL,PAPER_STOP_MARKET_STRESSED_V1,6.7645,BUONA
SHADOW_1H_BALANCED,False,bafc12e113be501946a9,acb92e3cdd7bfc97e816,ADA,ADAUSDTM,SHORT,confluence_trend,60,2026-08-11T14:39:43+00:00,0.185328736,,0.18799746979839999,0.24617833765333333,0.17999126840319998,18504.426438016988,3429.4019621626703,1143.1339873875568,3.0,49.38338825514245,2.057641177297602,0.0,0.18353,0.18647,33.28457799341284,-21.118435734357075,29.18926638561368,-25.246389150392893,0.9705650827942814,-0.6158052035708067,2026-08-11T15:30:00+00:00,2026-08-11T16:30:00+00:00,5,COMPLETED_15M_OHLC,block4_5_v1,NORMAL,NORMAL,PAPER_STOP_MARKET_STRESSED_V1,-6.7103,BUONA
SHADOW_1H_BALANCED,False,4535f7742ff1f714292f,718f7b0b8191947a3565,BTC,XBTUSDTM,SHORT,confluence_trend,60,2026-08-11T16:09:11+00:00,63544.23861,64072.0,64459.275645983995,84407.93028695001,61714.164538032,0.05623426666448971,3573.363658986703,1191.1212196622344,3.0,51.45643668940852,2.1440181953920217,0.6181919130046996,63196.5,64186.1,19.554825724279006,-36.09460456689993,15.89671414193423,-39.78610580741942,0.5472386129830447,-1.0101016300461079,2026-08-12T07:45:00+00:00,2026-08-12T10:00:00+00:00,74,COMPLETED_15M_OHLC,block4_5_v1,NORMAL,NORMAL,PAPER_STOP_MARKET_STRESSED_V1,-7.25,BUONA
SHADOW_1H_BALANCED,False,198e28c85ba1ea5d9f98,d893c4c4868bd09561d1,ZEC,ZECUSDTM,SHORT,confluence_trend,60,2026-08-12T07:08:58+00:00,478.884204,482.62,487.0529101861492,636.1178509800001,462.5467916277017,6.036423402304962,2890.7478160197834,963.5826053399278,3.0,49.3097691886241,1.7344486896118698,0.0,474.23,483.0,28.09474594470132,-24.844687293513086,24.6427054130444,-28.328491485112934,0.9718850530304801,-0.859455368463143,2026-08-12T08:45:00+00:00,2026-08-12T10:00:00+00:00,14,COMPLETED_15M_OHLC,block4_5_v1,NORMAL,NORMAL,PAPER_STOP_MARKET_STRESSED_V1,-6.3599,BUONA
SHADOW_1H_BALANCED,False,f51e75508eccc0fb5435,ae434f86299f2d68adf5,SOL,SOLUSDTM,LONG,confluence_trend,60,2026-08-12T10:09:28+00:00,76.7033376,76.719,75.59880953856,51.519075087999994,78.91239372288,0.7938072289496122,60.8876638714426,20.29588795714753,3.0,0.8767823597487734,0.03653259832286555,0.0,76.833,76.634,0.10292695044295687,-0.05504068811801443,0.02979999762695998,-0.12807286035087473,0.1690440130208895,-0.09039710939514217,2026-08-12T10:15:00+00:00,2026-08-12T10:00:00+00:00,2,COMPLETED_15M_OHLC,block4_5_v1,NORMAL,NORMAL,PAPER_STOP_MARKET_STRESSED_V1,6.3075,BUONA
SHADOW_1H_BALANCED_LONG_NO_RHV_V1,False,40e3d8ebd9070b79a7d9,5871946529795569b2e0,CYS,CYSUSDTM,LONG,confluence_trend,60,2026-08-12T09:09:36+00:00,1.3554710399999998,1.5015,1.1928145151999998,0.9104247151999999,1.6807840895999997,291.16154623971,394.6610438895477,131.55368129651592,3.0,47.35932526674573,0.2367966263337286,0.0,1.513,1.3445,45.86637557113344,-3.1943449702576556,45.3652624931233,-3.666021615942958,11.621713437713879,-0.8093894798371952,2026-08-12T10:15:00+00:00,2026-08-12T09:00:00+00:00,6,COMPLETED_15M_OHLC,block4_5_v1,NORMAL,CRASH,PAPER_STOP_MARKET_STRESSED_V1,7.0,BUONA
SHADOW_1H_BALANCED_LONG_NO_RHV_V1,False,d1891bc269d46c97752a,ae434f86299f2d68adf5,SOL,SOLUSDTM,LONG,confluence_trend,60,2026-08-12T10:09:28+00:00,76.7033376,76.719,75.59880953856,51.519075087999994,78.91239372288,43.02256699503259,3299.9744806386025,1099.991493546201,3.0,47.519632521195874,1.9799846883831613,0.0,76.833,76.634,5.57840929073675,-2.9830815412746525,1.6150928683959849,-6.94126106911621,0.1690440130208895,-0.09039710939514217,2026-08-12T10:15:00+00:00,2026-08-12T10:00:00+00:00,2,COMPLETED_15M_OHLC,block4_5_v1,NORMAL,NORMAL,PAPER_STOP_MARKET_STRESSED_V1,6.3075,BUONA
SHADOW_1H_BALANCED_LONG_NO_RHV_V1,False,7a7c8fff8d225fc3086f,7bab2f050ba82c2f606b,HYPE,HYPEUSDTM,LONG,confluence_trend,60,2026-08-12T10:09:28+00:00,55.31106,55.411,54.514580736,37.1505953,56.904018527999995,59.645536839909795,3299.057866884461,1099.6859556281536,3.0,47.50643328313624,1.9794347201306763,0.0,55.452,55.192,8.406441962216917,-7.101397616159511,4.442528656778234,-11.056006217851168,0.25481341344751035,-0.21525532144926804,2026-08-12T10:00:00+00:00,2026-08-12T10:15:00+00:00,2,COMPLETED_15M_OHLC,block4_5_v1,NORMAL,NORMAL,PAPER_STOP_MARKET_STRESSED_V1,5.2383,MEDIA
SHADOW_1H_BALANCED_V2,False,125e0da73d0e1602a8e1,07d7b0d1c0a6cb2cf7e5,ADA,ADAUSDTM,SHORT,confluence_trend_v2,60,2026-08-11T14:39:43+00:00,0.185328736,,0.18799746979839999,0.24617833765333333,0.17999126840319998,19095.954937830975,3539.029191341173,1179.6763971137243,3.0,50.96202035531289,2.1234175148047036,0.0,0.18353,0.18647,34.34858160105424,-21.793525916168786,30.12235572040547,-26.053437061327894,0.9705650827942814,-0.6158052035708067,2026-08-11T15:30:00+00:00,2026-08-11T16:30:00+00:00,5,COMPLETED_15M_OHLC,block4_5_v1,NORMAL,NORMAL,PAPER_STOP_MARKET_STRESSED_V1,-6.7103,BUONA
SHADOW_1H_BALANCED_V2,False,e067128c728838e15918,5a24d3159741db5cc012,BTC,XBTUSDTM,SHORT,confluence_trend_v2,60,2026-08-12T00:24:31+00:00,63596.2782,64072.0,64512.06460608,84477.056209,61764.70538784,0.05316939052598279,3381.375351614846,1127.1251172049485,3.0,48.69180506325378,2.028825210968907,0.2536031513711134,63550.5,64186.1,2.43399899337658,-31.360465624938005,-1.368587877794095,-35.18332917487966,0.07198251422203611,-0.9274470404464611,2026-08-12T08:15:00+00:00,2026-08-12T10:00:00+00:00,41,COMPLETED_15M_OHLC,block4_5_v1,NORMAL,NORMAL,PAPER_STOP_MARKET_STRESSED_V1,-6.75,BUONA
SHADOW_1H_BALANCED_V2,False,24d06b43ffdec3a690c5,656593b527bf0b40c6a1,ZEC,ZECUSDTM,SHORT,confluence_trend_v2,60,2026-08-12T07:08:58+00:00,478.884204,482.62,487.0529101861492,636.1178509800001,462.5467916277017,6.057835117978064,2901.001548436171,967.0005161453904,3.0,49.484675202899034,1.7406009290617026,0.0,474.23,483.0,28.194400437433934,-24.932813547233575,24.73011521957299,-28.42897509348532,0.9718850530304801,-0.859455368463143,2026-08-12T08:45:00+00:00,2026-08-12T10:00:00+00:00,14,COMPLETED_15M_OHLC,block4_5_v1,NORMAL,NORMAL,PAPER_STOP_MARKET_STRESSED_V1,-6.3599,BUONA
SHADOW_1H_BALANCED_V2,False,f7f41c893a0afefece32,e3406aa6cdc73722ae99,CYS,CYSUSDTM,LONG,confluence_trend_v2,60,2026-08-12T09:09:36+00:00,1.3554710399999998,1.5015,1.1928145151999998,0.9104247151999999,1.6807840895999997,301.3095355666532,408.41634953644837,136.1387831788161,3.0,49.0099619443738,0.245049809721869,0.0,1.513,1.3445,47.46497777589791,-3.305678967083121,46.94639916978863,-3.793795179146609,11.621713437713879,-0.8093894798371952,2026-08-12T10:15:00+00:00,2026-08-12T09:00:00+00:00,6,COMPLETED_15M_OHLC,block4_5_v1,NORMAL,CRASH,PAPER_STOP_MARKET_STRESSED_V1,7.0,BUONA
SHADOW_1H_BALANCED_V3,False,6ab5f84fdb73fa814df3,a099cecc783433fbada4,SPCX,SPCXUSDTM,LONG,confluence_trend_v3_filtered,60,2026-08-10T21:39:39+00:00,136.852062,,132.3134536861309,91.91896830999998,145.92927862773814,11.501364983057897,1573.9855137460681,524.661837915356,3.0,52.20019073294928,0.9443913082476408,0.6752397853970632,139.85,133.41,34.48037913457868,-39.58841135631415,33.24614807599972,-40.778201140598576,2.190641453396592,-2.5151699942964636,2026-08-11T13:30:00+00:00,2026-08-11T13:30:00+00:00,67,COMPLETED_15M_OHLC,block4_5_v1,NORMAL,NORMAL,PAPER_STOP_MARKET_STRESSED_V1,6.7645,BUONA
SHADOW_1H_BALANCED_V3,False,27eac55b80782f65403e,acb92e3cdd7bfc97e816,ADA,ADAUSDTM,SHORT,confluence_trend_v3_filtered,60,2026-08-11T14:39:43+00:00,0.185328736,,0.18799746979839999,0.24617833765333333,0.17999126840319998,19553.448242110557,3623.8158471517713,1207.938615717257,3.0,52.18294819898551,2.1742895082910625,0.0,0.18353,0.18647,35.17149127722088,-22.31564655458412,30.84401515540509,-26.677614959098996,0.9705650827942814,-0.6158052035708067,2026-08-11T15:30:00+00:00,2026-08-11T16:30:00+00:00,5,COMPLETED_15M_OHLC,block4_5_v1,NORMAL,NORMAL,PAPER_STOP_MARKET_STRESSED_V1,-6.7103,BUONA
SHADOW_1H_BALANCED_V3,False,2874fb4707d68fe021be,fb4077857f113a5ed214,BTC,XBTUSDTM,SHORT,confluence_trend_v3_filtered,60,2026-08-11T15:10:53+00:00,63807.236000000004,64072.0,64726.0601984,84757.27848666668,61969.5876032,0.05310689899687043,3388.604437521475,1129.5348125071584,3.0,48.79590390030924,2.033162662512885,0.5760627543786507,63196.5,64186.1,32.4342950657529,-20.120292181550006,28.96349307214523,-23.622626927506058,0.9571578997717507,-0.5937633781848725,2026-08-12T07:00:00+00:00,2026-08-12T10:00:00+00:00,78,COMPLETED_15M_OHLC,block4_5_v1,NORMAL,NORMAL,PAPER_STOP_MARKET_STRESSED_V1,-7.25,BUONA
SHADOW_1H_BALANCED_V3,False,edc7c6786e405d3a374c,d893c4c4868bd09561d1,ZEC,ZECUSDTM,SHORT,confluence_trend_v3_filtered,60,2026-08-12T07:08:58+00:00,478.884204,482.62,487.0529101861492,636.1178509800001,462.5467916277017,6.31195430449536,3022.695212792634,1007.5650709308779,3.0,51.560500173822064,1.8136171276755801,0.0,474.23,483.0,29.377122971799476,-25.978716278624713,25.767514990231394,-29.62153776374305,0.9718850530304801,-0.859455368463143,2026-08-12T08:45:00+00:00,2026-08-12T10:00:00+00:00,14,COMPLETED_15M_OHLC,block4_5_v1,NORMAL,NORMAL,PAPER_STOP_MARKET_STRESSED_V1,-6.3599,BUONA
SHADOW_1H_BALANCED_V3,False,de11157de0d5d7fd1014,ae434f86299f2d68adf5,SOL,SOLUSDTM,LONG,confluence_trend_v3_filtered,60,2026-08-12T10:09:28+00:00,76.7033376,76.719,75.59880953856,51.519075087999994,78.91239372288,0.8304694087936438,63.69977542917127,21.23325847639042,3.0,0.9172767661800663,0.03821986525750276,0.0,76.833,76.634,0.10768065667076566,-0.05758275567916785,0.031176317761757694,-0.13398793654076588,0.1690440130208895,-0.09039710939514217,2026-08-12T10:15:00+00:00,2026-08-12T10:00:00+00:00,2,COMPLETED_15M_OHLC,block4_5_v1,NORMAL,NORMAL,PAPER_STOP_MARKET_STRESSED_V1,6.3075,BUONA
SHADOW_1H_FAST_SCORE_6_75_V1,False,693ec849decb89cc6cfd,fb4077857f113a5ed214,BTC,XBTUSDTM,SHORT,momentum_breakout,60,2026-08-11T15:10:53+00:00,63807.236000000004,64072.0,64521.87704320001,84757.27848666668,62735.2744352,0.07407484299948322,4726.510988930974,1575.5036629769913,3.0,52.93692307602691,2.835906593358584,0.8035068681182655,63196.5,64186.1,45.24017331413271,-28.064291318155774,40.39901109952228,-32.949436211545574,0.9571578997717507,-0.5937633781848725,2026-08-12T07:00:00+00:00,2026-08-12T10:00:00+00:00,78,COMPLETED_15M_OHLC,block4_5_v1,NORMAL,NORMAL,PAPER_STOP_MARKET_STRESSED_V1,-7.25,BUONA
SHADOW_1H_FAST_SCORE_6_75_V1,False,09830054d61e66ad7d59,5871946529795569b2e0,CYS,CYSUSDTM,LONG,momentum_breakout,60,2026-08-12T09:09:36+00:00,1.3554710399999998,1.5015,1.3554710399999998,0.9104247151999999,1.5994558271999997,323.0363891957982,437.86647042107336,145.9554901403578,3.0,52.5439764505288,0.262719882252644,0.0,1.513,1.3445,50.88758643216935,-3.5440451473226124,50.331614115804754,-4.067358484739507,11.621713437713879,-0.8093894798371952,2026-08-12T10:15:00+00:00,2026-08-12T09:00:00+00:00,6,COMPLETED_15M_OHLC,block4_5_v1,NORMAL,CRASH,PAPER_STOP_MARKET_STRESSED_V1,7.0,BUONA
