generated_utc,portfolio,portfolio_label,is_main,strategy,strategy_label,equity_eur,balance_eur,unrealized_pnl_eur,month_pnl_eur,monthly_target_eur,target_progress_pct,open_positions,open_margin_eur,open_notional_eur,open_initial_risk_eur,open_stop_risk_eur,closed_trades,unique_market_events,winning_trades,win_rate_pct,profit_factor,expectancy_eur,net_pnl_closed_eur,average_mfe_net_eur,average_mae_net_eur,excursion_sample,average_signed_capture_pct,signed_capture_sample,average_winner_capture_pct,winner_capture_sample,average_profit_giveback_eur,average_profit_giveback_pct_of_mfe,giveback_sample,lost_after_positive_mfe_count,average_profit_retained_pct,profit_retention_sample,max_drawdown_pct
2026-07-22T13:08:47+00:00,MAIN,Principale 4H,True,confluence_trend,Confluenza trend,9930.21489510193,9847.978362320026,82.23653278190484,-69.78510489807013,3000.0,-2.3261701632690044,4,1512.916611783664,4538.749835350992,196.7114222385489,147.6585172722206,17,17,5,29.411764705882355,0.7322384275199829,-8.967877715163043,-152.45392115777173,41.215829158520826,-49.26736543262325,13,-356.5856857402911,13,65.17031844568338,3,60.34282646033163,456.5856857402913,13,10,65.17031844568338,3,4.256121497637233
2026-07-22T13:08:47+00:00,SHADOW_1H_BALANCED,Bilanciata 1H V1,False,confluence_trend,Confluenza trend,10326.665470433734,10306.200082119687,20.46538831404802,326.6654704337343,3000.0,10.88884901445781,4,3404.023907414351,10212.071722243052,204.26745489262157,204.26745489262137,28,28,14,50.0,1.6185931080235403,11.151181415153788,312.2330796243061,49.77503419857633,-34.46227762580011,22,-76.3841569190865,18,60.98177308176152,10,44.34602165369358,176.38415691908648,18,8,60.98177308176152,10,1.8103116015742604
2026-07-22T13:08:47+00:00,SHADOW_1H_BALANCED_V2,Bilanciata 1H V2,False,confluence_trend_v2,Confluenza trend V2,10058.552651197244,10046.112652206482,12.439998990760781,58.552651197243904,3000.0,1.95175503990813,4,1741.8310699539197,5225.493209861759,200.6373359921034,150.71027841953887,18,16,9,50.0,1.1139916921104653,2.7356966315456526,49.24253936782175,47.57170540778122,-32.57423266252644,18,-534.3690485799034,16,55.448627219173794,9,43.77514771707082,634.3690485799034,16,7,55.448627219173794,9,2.74659750313931
2026-07-22T13:08:47+00:00,SHADOW_1H_BALANCED_V3,Bilanciata 1H V3 Filtered,False,confluence_trend_v3_filtered,Confluenza trend V3 Filtered,10331.90541838606,10330.350547049144,1.554871336916345,331.9054183860608,3000.0,11.063513946202026,4,2286.801993686726,6860.4059810601775,205.57193135817823,154.63012929791512,28,28,13,46.42857142857143,1.4798145433340208,11.934429236930153,334.1640186340443,57.007762681905824,-41.44199373095438,28,-344.16051923327313,28,84.08958011453106,13,45.34315104815626,444.661147020957,28,15,84.08958011453106,13,2.2007070806872906
2026-07-22T13:08:47+00:00,SHADOW_1H_FAST,Rapida 1H V1 — madre,False,momentum_breakout,Momentum / breakout,9847.87187777205,9840.510993366792,7.360884405257505,-152.12812222795037,3000.0,-5.070937407598346,4,3067.947423630186,9203.842270890558,195.43698565509135,195.43698565509118,52,52,17,32.69230769230769,0.8765235568731297,-2.9684955746578536,-154.3617698822084,44.9863537065907,-35.06657211236927,41,-224.01872535969508,37,79.43199575460447,11,53.2477973799529,324.01872535969505,37,26,79.43199575460447,11,5.793630407375154
2026-07-22T13:08:47+00:00,SHADOW_1H_FAST_SCORE_6_75_V1,"Rapida V1 — score 6–7,5",False,momentum_breakout,Momentum / breakout,9879.820634190632,9816.318364571647,63.50226961898459,-120.17936580936839,3000.0,-4.00597886031228,2,2012.699828690016,6038.099486070048,98.60210165266568,49.22207453686717,15,15,3,20.0,0.5337038705867868,-12.02176204241037,-180.32643063615555,38.7557322394962,-38.417874961021546,15,-263.492019979341,15,98.84237075358625,3,50.77749428190657,363.4920199793409,15,12,98.84237075358625,3,2.4936582504453364
2026-07-22T13:08:47+00:00,SHADOW_1H_FAST_NOHIGH_CAP75_V1,"Rapida V1 — no HIGH + score <7,5",False,momentum_breakout,Momentum / breakout,9872.774791738095,9814.05967629246,58.71511544563424,-127.22520826190521,3000.0,-4.240840275396841,4,4135.586963835051,12406.760891505155,196.5293659741363,147.50038158633026,15,15,4,26.666666666666668,0.606499779301003,-11.943671241761702,-179.15506862642553,35.805716096636736,-38.69172028505545,15,-470.5524067463058,15,98.95696821846411,4,47.74938733839843,570.5524067463059,15,11,98.95696821846411,4,2.8270836660733396
2026-07-22T13:08:47+00:00,SHADOW_1H_FAST_LONG_BTC_1_3_CAP75_V1,"Rapida V1 — Long + BTC 1–3 + score <7,5",False,momentum_breakout,Momentum / breakout,9928.3758071608,9938.35472378979,-9.97891662898817,-71.62419283919917,3000.0,-2.3874730946399723,3,1127.6398148940389,3382.9194446821166,149.5799915295608,99.99295242936813,1,1,0,0.0,0.0,-59.61552454340029,-59.61552454340029,10.995558813465877,-59.61552454340029,1,-542.178215357197,1,0.0,0,70.61108335686616,642.178215357197,1,1,0.0,0,1.0766303117367302
2026-07-22T13:08:47+00:00,SHADOW_1H_FAST_NO_PEPE_V1,Rapida V1 — senza PEPE,False,momentum_breakout,Momentum / breakout,9936.675746472296,9885.656103599935,51.019642872361764,-63.32425352770406,3000.0,-2.1108084509234684,4,2877.7201550141444,8633.160465042434,198.82074567681815,99.76537577916017,12,12,3,25.0,0.6535759135318207,-9.130186341329912,-109.56223609595894,41.92723522182764,-39.64932593784649,12,-145.08526376408997,12,98.84322799969073,3,51.057421563157554,245.08526376408994,12,9,98.84322799969073,3,2.102460799750855
2026-07-22T13:08:47+00:00,SHADOW_1H_FAST_TP2_V1,Rapida V1 — target pieno 2R,False,momentum_breakout,Momentum / breakout,9944.886272203716,9915.431275255194,29.454996948520655,-55.113727796284365,3000.0,-1.8371242598761457,4,2934.122848187838,8802.368544563515,198.99689609483107,149.7029868195556,11,11,3,27.27272727272727,0.7795812479237004,-7.244101299866997,-79.68511429853696,44.91324697264889,-47.70078711280121,11,-171.27148255604035,10,99.14035854576308,3,52.025045396050984,271.2714825560403,10,7,99.14035854576308,3,2.0417658112406336
2026-07-22T13:08:47+00:00,SHADOW_1H_FAST_V2,Rapida 1H V2,False,momentum_breakout_v2,Momentum / breakout V2,10004.313384966912,10004.313384966912,0,4.313384966912054,3000.0,0.14377949889706845,0,0,0,0,0,3,2,1,33.33333333333333,1.0669037349134776,1.4377949889711346,4.313384966913404,41.970421985508715,-33.9597347914108,3,-1401.3593013355319,3,91.47213189446165,1,40.53262699653758,1501.3593013355319,3,2,91.47213189446165,1,0.92747868732665
